codigo_negocio,nombre_patrimonio,codigo_entidad,nombre_subtipo_patrimonio,fmin,fmax,n,anio
59354,FONDO DE INVERSION COLECTIVA CERRADO GLOBAL SECURITIES CREDIT OPPORTUNITIES FUND FACTURAS,68,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
76770,FONVAL RENTA FIJA ALTO RENDIMIENTO,28,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
90195,FONDO ABIERTO 1525 FC2 FIDUCENTRAL,38,FIC DE TIPO GENERAL,2019-12-17T00:00:00.000,2019-12-31T00:00:00.000,50,2019
59252,FONDO DE CAPITAL PRIVADO FONDO ESCALA CAPITAL EN LIQUIDACIÓN,22,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,730,2019
58957,FONDO DE CAPITAL PRIVADO INVERSOR COMPARTIMENTO A,26,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
86121,FONDO DE CAPITAL PRIVADO AQUA COMPARTIMENTO CUATRO AQUA IV,63,FONDOS DE CAPITAL PRIVADO,2019-06-07T00:00:00.000,2019-12-31T00:00:00.000,208,2019
8686,FONDO DE INVERSIÓN COLECTIVA ABIERTO CON PACTO DE PERMANENCIA Y  PARTICIPACIONES DIFERENCIALES BBVA,3,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
74052,OLD MUTUAL  FONDO DE INVERSIÓN COLECTIVA NACIÓN DEL MERCADO MONETARIO,7,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-01-21T00:00:00.000,63,2019
58921,CREDICORP CAPITAL RENTA FIJA GLOBAL,28,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
74491,FONDO DE CAPITAL PRIVADO POR COMPARTIMENTOS RAIZ - COMPARTIMENTO I,97,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
8734,FONDO DE INVERSIÓN COLECTIVA ABIERTO BBVA EFECTIVO CON PARTICIPACIONES DIFERENCIALES,3,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,3285,2019
50398,FONDO DE CAPITAL PRIVADO INVERLINK ESTRUCTURAS INMOBILIARIAS- COMPARTIMENTO PARALELO 26,16,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-06-26T00:00:00.000,177,2019
77779,FCP POR COMP. FINANCIACION ESTRUCTURADA,20,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-03-10T00:00:00.000,69,2019
17653,FONDO DE INVERSION COLECTIVA ABIERTO 1525,25,FIC DE MERCADO MONETARIO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
58946,FONDO DE CAPITAL PRIVADO ENERGETICO - COMPARTIMENTO A,26,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
68940,FONDO DE CAPITAL PRIVADOFONDO DE CAPITAL PRIVADO INVERSIONES GANADERAS COMPARTIMENTO 33,21,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
29497,FONDO DE INVERSIÓN COLECTIVA ABIERTO CON PACTO DE PERMANENCIA CUBRIR BALANCEADO INTERNACIONAL,22,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,730,2019
54077,FONDO DE INVERSIÓN COLECTIVA ABIERTO CON PACTO DE PERMANENCIA ES+,22,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,1095,2019
85384,FONDO DE INVERSION COLECTIVA ABIERTO ITAU ACCIONES COLOMBIA,23,FIC DE TIPO GENERAL,2019-04-29T00:00:00.000,2019-12-31T00:00:00.000,247,2019
10779,RENTAFACIL FONDO DE INVERSION COLECTIVA ABIERTO,6,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,2555,2019
58897,CREDICORP CAPITAL RENTA FIJA COLOMBIA,28,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
76275,FONDO DE INVERSIÓN COLECTIVA ABIERTO CON PACTO DE PERMANENCIA RENTAR CAPITAL,18,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
60606,FONDO DE CAPITAL PRIVADO BTG PACUAL CACAO SUBCOMP Z NECOCLI - COMP I - FCP BTG PACTUAL FCP CACAO,14,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
80574,FONDO DE CAPITAL PRIVADO ELIMARC CAPITAL - COMPARTIMENTO SAN PABLO,59,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
36570,FONDO ABIERTO 1525 FIDUCENTRAL,38,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,2266,2019
77698,FONDO DE CAPITAL PRIVADO INMOBILIARIO POR COMPARTIMENTOS AZUR - COMPARTIMENTO DORADO PLAZA,97,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
3895,FONDO DE INVERSIÓN COLECTIVA ABIERTA SIN PACTO DE PERMANENCIA FIDUEXCEDENTES,31,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
59144,FONDO DE CAPITAL PRIVADO TEKA COLOMBIA I COMPARTIMENTO LP,26,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
51615,COMPARTIMENTO A FCP AVENIDA COLOMBIA PEF,20,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
60103,FONDO DE INVERSION COLECTIVA ABIERTO SIN PACTO DE PERMANENCIA PERFIL MODERADO,62,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
14173,FONDO DE CAPITAL PRIVADO NEXUS INFRAESTRUCTURA I FCP EN LIQUIDACION,31,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,730,2019
28403,FONDO DE CAPITAL PRIVADO OXO - PROPIEDADES SOSTENIBLES COMPARTIMENTO I. CARTAGENA. OXO - PROPIEDADE,16,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
87342,FONDO DE INVERSIÓN COLECTIVA ABIERTO BBVA DIGITAL CON PARTICIPACIONES DIFERENCIALES,3,FIC DE TIPO GENERAL,2019-08-12T00:00:00.000,2019-12-31T00:00:00.000,142,2019
69536,FONDO DE INVERSION COLECTIVA ABIERTO CONFIRENTA,39,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,1598,2019
51968,FONDO DE INVERSIÓN COLECTIVA INMOBILIARIO CERRADO SKANDIA COMPRAR PARA ARRENDAR-I,7,FIC INMOBILIARIAS,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,730,2019
11627,FONDO DE INVERSION COLECTIVA ABIERTO RENDIR,25,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
10824,FONDO ABIERTO CON PACTO DE PERMANENCIA CXC,16,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,2190,2019
73579,FCP - VALOR FORESTAL - CAUCHO 01 (EN LIQUIDACIÓN),38,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
64228,FONDO DE CAPITAL PRIVADO COMPARTIMENTO SANTANDER I,97,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
11407,CARTERA COLECTIVA ABIERTA DE ALTA LIQUIDEZ,12,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,1095,2019
29496,FONDO DE INVERSIÓN COLECTIVA ABIERTO CON PACTO DE PERMANENCIA FIDUACCIÓN,22,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
59143,FONDO DE CAPITAL PRIVADO TEKA COLOMBIA I COMPARTIMENTO GP,26,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
59741,FONDO DE INVERSION COLECTIVA ABIERTO RENTA FIJA PLUS,22,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
51218,COMPARTIMENTO INMOBILIARIO TRIPLE A,21,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
