codigo_negocio,entidad,nombre,subtipo,aum,inversionistas,n_clases,rent_anual_med,clase_principal,valor_unidad_operaciones,cat_nombre,aum_bn_cop
81171,Skandia Fiduciaria S.A.,FONDO DE INVERSIÓN COLECTIVA CERRADO INMOBILIARIO GRANDES SUPERFICIES,FIC INMOBILIARIAS,108433567824.45,28,1,8.748148,800,24363.819693,SIN_CLASIFICAR,108.4
119170,Itaú Comisionista De Bolsa,ITAÚ LATIN AMERICAN CORPORATE CREDIT,FIC DE TIPO GENERAL,107715398249.19,875,2,11.927489,534,15827.974236,SIN_CLASIFICAR,107.7
97466,Alianza Fiduciaria S.A.,FONDO ABIERTO CON PACTO DE PERMANENCIA RENOVABLE ALTERNATIVOS ALIANZA,FIC DE TIPO GENERAL,104189026285.54001,380,7,9.064621,503,16055.964961,RF_LARGO,104.2
115127,Acciones Y Valores S.A.  Comisionistas De Bolsa,FIC ABIERTO ACCICUENTA MODERADO,FIC DE TIPO GENERAL,103358621416.2,21879,1,14.051813,800,14709.025355,MIXTO,103.4
117765,Fiduciaria Sura S.A.,FIC SURA CREDITO PRIVADO II,FIC DE TIPO GENERAL,99854205750.54,435,1,15.59329,800,15282.647497,RF_LARGO,99.9
67404,Alianza Fiduciaria S.A.,FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO PERMANENCIA ALIANZA RENTA FIJA 90,FIC DE TIPO GENERAL,99556767155.53,2891,8,8.752347,510,17121.71297,RF_LARGO,99.6
126297,Alianza Fiduciaria S.A.,FONDO CERRADO ALIANZA SENTENCIAS NACIÓN NO 6,FIC DE TIPO GENERAL,99494924787.06,409,3,15.438963,501,11560.592095,SIN_CLASIFICAR,99.5
106749,Fiduciaria Sura S.A.,FIC SURA CREDITO PRIVADO III,FIC DE TIPO GENERAL,98255645378.06,99,2,13.9209785,503,13736.283574,RF_LARGO,98.3
126370,Corredores Davivienda S.A.Comisionista De Bolsa,FONDO DE INVERSION COLECTIVA CERRADO EVOLUCION NOTA EUROPA 2027,FIC DE TIPO GENERAL,97978941896.29999,298,2,29.515221500000003,502,13060.854175,SIN_CLASIFICAR,98.0
106809,Progresion Scb,FONDO DE INVERSION COLECTIVA CERRADO PROGRESION RENTAMAS,FIC DE TIPO GENERAL,95667139450.68001,688,4,8.9660525,803,34076.664525,SIN_CLASIFICAR,95.7
